id,type
ОРГ1-02649,0
ОРГ2-05929,1
ОРГ2-05859,2
ОРГ1-00279,3
ОРГ2-01613,0
ОРГ2-05171,0
ОРГ1-01873,2
ОРГ1-01627,0
ОРГ1-01851,0
ОРГ1-02815,1
ОРГ1-01674,0
ОРГ1-00571,2
ОРГ1-02494,0
ОРГ1-02773,3
ОРГ1-01590,0
ОРГ2-01825,1
ОРГ1-00963,0
ОРГ1-01464,2
ОРГ2-00209,1
ОРГ1-01336,2
ОРГ1-02028,0
ОРГ1-02705,0
ОРГ1-01342,0
ОРГ1-01624,0
ОРГ1-02723,0
ОРГ2-06471,1
ОРГ2-00800,0
ОРГ1-02042,0
ОРГ1-01676,2
ОРГ1-01714,3
ОРГ1-00147,0
ОРГ1-00781,0
ОРГ1-02846,1
ОРГ1-03037,3
ОРГ1-01220,2
ОРГ1-02180,1
ОРГ1-01010,0
ОРГ1-02527,2
ОРГ1-00831,0
ОРГ1-00901,0
ОРГ1-02873,3
ОРГ1-00150,2
ОРГ1-02802,0
ОРГ2-07167,1
ОРГ1-00419,0
ОРГ1-01572,2
ОРГ1-01589,2
ОРГ1-03104,3
ОРГ1-00706,0
ОРГ1-02606,3
ОРГ1-02856,3
ОРГ2-05623,0
ОРГ2-06643,1
ОРГ1-00420,0
ОРГ1-00639,0
ОРГ1-01754,0
ОРГ1-02655,0
ОРГ1-02702,3
ОРГ1-01632,3
ОРГ1-02560,1
ОРГ1-02807,3
ОРГ1-00829,2
ОРГ1-01807,1
ОРГ1-02572,2
ОРГ2-05630,1
ОРГ1-01715,1
ОРГ2-00229,0
ОРГ1-01758,0
ОРГ1-02937,3
ОРГ2-01919,1
ОРГ2-03356,1
ОРГ1-00970,0
ОРГ2-05975,1
ОРГ1-01660,3
ОРГ1-00659,0
ОРГ1-00261,1
ОРГ2-03873,1
ОРГ1-01506,2
ОРГ1-01716,0
ОРГ1-00824,0
ОРГ1-00566,0
ОРГ2-00868,0
ОРГ1-01846,0
ОРГ1-00437,0
ОРГ1-00525,1
ОРГ1-03075,1
ОРГ1-00560,2
ОРГ1-02189,3
ОРГ1-02884,3
ОРГ1-02922,1
ОРГ2-04616,1
ОРГ1-01239,1
ОРГ1-01109,0
ОРГ1-02635,2
ОРГ1-02137,3
ОРГ2-05628,0
ОРГ2-00905,2
ОРГ1-01922,1
ОРГ1-01101,0
ОРГ1-00324,2
ОРГ1-00972,2
ОРГ1-00515,2
ОРГ1-01060,3
ОРГ2-05324,1
ОРГ1-03049,3
ОРГ2-04009,2
ОРГ1-01838,2
ОРГ1-02122,1
ОРГ1-00807,2
ОРГ1-01808,0
ОРГ1-02224,1
ОРГ1-00596,0
ОРГ2-00591,2
ОРГ1-01598,3
ОРГ2-04680,1
ОРГ1-00816,3
ОРГ1-01894,3
ОРГ1-01062,3
ОРГ2-04134,1
ОРГ1-02696,3
ОРГ1-02195,0
ОРГ1-00662,3
ОРГ1-01412,2
ОРГ2-07861,1
ОРГ2-06061,0
ОРГ1-00792,2
ОРГ2-05463,1
ОРГ2-02092,0
ОРГ1-00966,2
ОРГ1-02788,0
ОРГ1-02250,0
ОРГ1-02860,1
ОРГ1-01921,0
ОРГ2-04515,1
ОРГ1-01880,2
ОРГ2-04767,1
ОРГ1-02178,3
ОРГ1-00696,2
ОРГ1-01853,1
ОРГ1-02931,2
ОРГ1-00707,0
ОРГ1-01875,3
ОРГ1-01059,2
ОРГ1-02555,3
ОРГ1-01151,1
ОРГ1-01356,3
ОРГ1-02128,2
ОРГ1-02638,0
ОРГ1-02916,3
ОРГ1-00358,0
ОРГ1-02027,3
ОРГ1-01742,2
ОРГ2-03598,0
ОРГ1-01837,2
ОРГ1-03009,3
ОРГ1-02652,3
ОРГ1-02165,2
ОРГ1-01202,2
ОРГ1-01797,0
ОРГ2-06867,1
ОРГ1-00520,1
ОРГ1-00910,0
ОРГ1-01560,0
ОРГ2-00067,1
ОРГ2-01629,0
ОРГ1-02934,2
ОРГ1-00784,0
ОРГ1-01617,2
ОРГ2-05211,0
ОРГ2-05087,1
ОРГ1-01377,2
ОРГ2-06851,1
ОРГ1-02202,0
ОРГ1-01856,0
ОРГ1-01472,2
ОРГ1-02850,2
ОРГ1-00713,3
ОРГ2-05928,0
ОРГ1-00948,0
ОРГ1-01529,2
ОРГ1-02889,3
ОРГ1-02631,2
ОРГ1-01798,3
ОРГ1-02508,0
ОРГ2-00725,0
ОРГ2-06172,1
ОРГ2-02628,1
ОРГ1-02849,2
ОРГ1-00530,2
ОРГ1-02147,2
ОРГ1-02087,0
ОРГ1-02694,3
ОРГ2-04867,1
ОРГ2-02718,0
ОРГ1-01630,3
ОРГ2-00444,2
ОРГ1-01870,1
ОРГ2-05627,1
ОРГ1-01913,0
ОРГ1-01273,1
ОРГ1-01343,2
ОРГ2-02537,1
ОРГ1-00677,0
ОРГ2-03086,1
ОРГ1-01773,0
ОРГ1-03010,3
ОРГ1-01375,1
ОРГ2-05967,1
ОРГ1-02784,0
ОРГ1-01299,2
ОРГ2-00006,0
ОРГ1-00323,2
ОРГ2-06413,1
ОРГ2-03795,1
ОРГ2-04013,1
ОРГ1-02196,0
ОРГ1-02006,1
ОРГ1-01779,0
ОРГ2-01406,1
ОРГ1-00916,3
ОРГ1-00598,3
ОРГ2-05004,1
ОРГ2-04731,2
ОРГ1-00688,3
ОРГ2-01388,0
ОРГ1-02096,3
ОРГ2-00151,1
ОРГ2-02762,1
ОРГ1-00517,2
ОРГ2-00603,1
ОРГ1-00719,2
ОРГ1-01533,0
ОРГ1-01717,3
ОРГ2-02422,1
ОРГ1-01245,2
ОРГ1-00558,2
ОРГ1-01802,2
ОРГ2-06315,1
ОРГ1-02112,0
ОРГ2-04453,0
ОРГ1-01292,2
ОРГ1-02197,1
ОРГ1-00089,0
ОРГ2-06137,1
ОРГ1-02011,0
ОРГ1-01892,2
ОРГ2-00635,1
ОРГ1-00422,3
ОРГ2-04214,0
ОРГ1-03020,1
ОРГ1-00125,3
ОРГ1-02755,1
ОРГ1-02925,3
ОРГ2-06122,1
ОРГ1-01285,3
ОРГ2-04036,0
ОРГ1-03002,3
ОРГ1-02893,3
ОРГ2-01077,1
ОРГ1-00469,0
ОРГ1-02060,3
ОРГ2-05042,1
