id,type
ОРГ1-02649,1
ОРГ2-05929,1
ОРГ2-05859,0
ОРГ1-00279,1
ОРГ2-01613,1
ОРГ2-05171,0
ОРГ1-01873,1
ОРГ1-01627,1
ОРГ1-01851,1
ОРГ1-02815,1
ОРГ1-01674,1
ОРГ1-00571,1
ОРГ1-02494,0
ОРГ1-02773,1
ОРГ1-01590,1
ОРГ2-01825,1
ОРГ1-00963,0
ОРГ1-01464,1
ОРГ2-00209,1
ОРГ1-01336,1
ОРГ1-02028,1
ОРГ1-02705,0
ОРГ1-01342,1
ОРГ1-01624,0
ОРГ1-02723,0
ОРГ2-06471,0
ОРГ2-00800,0
ОРГ1-02042,1
ОРГ1-01676,1
ОРГ1-01714,1
ОРГ1-00147,1
ОРГ1-00781,1
ОРГ1-02846,1
ОРГ1-03037,1
ОРГ1-01220,1
ОРГ1-02180,1
ОРГ1-01010,0
ОРГ1-02527,1
ОРГ1-00831,1
ОРГ1-00901,0
ОРГ1-02873,1
ОРГ1-00150,1
ОРГ1-02802,0
ОРГ2-07167,1
ОРГ1-00419,1
ОРГ1-01572,1
ОРГ1-01589,1
ОРГ1-03104,1
ОРГ1-00706,1
ОРГ1-02606,1
ОРГ1-02856,1
ОРГ2-05623,0
ОРГ2-06643,0
ОРГ1-00420,0
ОРГ1-00639,0
ОРГ1-01754,1
ОРГ1-02655,1
ОРГ1-02702,0
ОРГ1-01632,1
ОРГ1-02560,1
ОРГ1-02807,0
ОРГ1-00829,0
ОРГ1-01807,0
ОРГ1-02572,1
ОРГ2-05630,0
ОРГ1-01715,0
ОРГ2-00229,0
ОРГ1-01758,1
ОРГ1-02937,1
ОРГ2-01919,1
ОРГ2-03356,0
ОРГ1-00970,1
ОРГ2-05975,0
ОРГ1-01660,1
ОРГ1-00659,1
ОРГ1-00261,0
ОРГ2-03873,0
ОРГ1-01506,1
ОРГ1-01716,0
ОРГ1-00824,1
ОРГ1-00566,0
ОРГ2-00868,0
ОРГ1-01846,0
ОРГ1-00437,0
ОРГ1-00525,1
ОРГ1-03075,1
ОРГ1-00560,1
ОРГ1-02189,1
ОРГ1-02884,0
ОРГ1-02922,0
ОРГ2-04616,0
ОРГ1-01239,0
ОРГ1-01109,0
ОРГ1-02635,1
ОРГ1-02137,0
ОРГ2-05628,0
ОРГ2-00905,1
ОРГ1-01922,1
ОРГ1-01101,0
ОРГ1-00324,1
ОРГ1-00972,1
ОРГ1-00515,1
ОРГ1-01060,0
ОРГ2-05324,1
ОРГ1-03049,0
ОРГ2-04009,1
ОРГ1-01838,0
ОРГ1-02122,1
ОРГ1-00807,1
ОРГ1-01808,1
ОРГ1-02224,1
ОРГ1-00596,1
ОРГ2-00591,1
ОРГ1-01598,1
ОРГ2-04680,0
ОРГ1-00816,1
ОРГ1-01894,1
ОРГ1-01062,1
ОРГ2-04134,0
ОРГ1-02696,1
ОРГ1-02195,0
ОРГ1-00662,1
ОРГ1-01412,1
ОРГ2-07861,1
ОРГ2-06061,0
ОРГ1-00792,1
ОРГ2-05463,1
ОРГ2-02092,0
ОРГ1-00966,1
ОРГ1-02788,1
ОРГ1-02250,0
ОРГ1-02860,1
ОРГ1-01921,1
ОРГ2-04515,0
ОРГ1-01880,1
ОРГ2-04767,1
ОРГ1-02178,1
ОРГ1-00696,1
ОРГ1-01853,1
