Дата,Приход.1,Уход.1,Длительность общая,Длительность раб.дня без обеда,Вых/Будни,id
"2021-03-01 00:00:00,000","1899-12-30 08:11:00,000","1899-12-30 17:32:00,000","9,35","8,35",Будни,ОРГ1-00791
"2021-03-01 00:00:00,000","1899-12-30 08:25:00,000","1899-12-30 17:32:00,000","9,1166666666666671","8,1166666666666671",Будни,ОРГ1-01826
"2021-03-01 00:00:00,000","1899-12-30 08:31:00,000","1899-12-30 17:32:00,000","9,0166666666666657","8,0166666666666657",Будни,ОРГ1-00713
"2021-03-01 00:00:00,000","1899-12-30 08:31:00,000","1899-12-30 17:32:00,000","9,0166666666666657","8,0166666666666657",Будни,ОРГ1-02127
"2021-03-01 00:00:00,000","1899-12-30 08:19:00,000","1899-12-30 17:32:00,000","9,2166666666666668","8,2166666666666668",Будни,ОРГ1-01739
"2021-03-01 00:00:00,000","1899-12-30 07:50:00,000","1899-12-30 17:32:00,000","9,7","8,7",Будни,ОРГ1-01125
"2021-03-01 00:00:00,000","1899-12-30 08:17:00,000","1899-12-30 17:32:00,000","9,25","8,25",Будни,ОРГ1-00632
"2021-03-01 00:00:00,000","1899-12-30 08:10:00,000","1899-12-30 17:32:00,000","9,3666666666666671","8,3666666666666671",Будни,ОРГ1-02006
"2021-03-01 00:00:00,000","1899-12-30 08:32:00,000","1899-12-30 17:32:00,000",9,8,Будни,ОРГ1-00701
"2021-03-01 00:00:00,000","1899-12-30 08:10:00,000","1899-12-30 17:32:00,000","9,3666666666666671","8,3666666666666671",Будни,ОРГ1-01587
"2021-03-01 00:00:00,000","1899-12-30 08:13:00,000","1899-12-30 17:32:00,000","9,3166666666666664","8,3166666666666664",Будни,ОРГ1-02109
"2021-03-01 00:00:00,000","1899-12-30 08:25:00,000","1899-12-30 17:32:00,000","9,1166666666666671","8,1166666666666671",Будни,ОРГ1-00840
"2021-03-01 00:00:00,000","1899-12-30 08:25:00,000","1899-12-30 17:32:00,000","9,1166666666666671","8,1166666666666671",Будни,ОРГ1-02126
"2021-03-01 00:00:00,000","1899-12-30 08:14:00,000","1899-12-30 17:32:00,000","9,2999999999999989","8,2999999999999989",Будни,ОРГ1-00339
"2021-03-01 00:00:00,000","1899-12-30 07:30:00,000","1899-12-30 17:32:00,000","10,033333333333333","9,0333333333333332",Будни,ОРГ1-02054
"2021-03-01 00:00:00,000","1899-12-30 08:36:00,000","1899-12-30 17:32:00,000","8,9333333333333336","7,9333333333333336",Будни,ОРГ1-00408
"2021-03-01 00:00:00,000","1899-12-30 08:15:00,000","1899-12-30 17:32:00,000","9,2833333333333332","8,2833333333333332",Будни,ОРГ1-01787
"2021-03-01 00:00:00,000","1899-12-30 07:44:00,000","1899-12-30 17:32:00,000","9,7999999999999989","8,7999999999999989",Будни,ОРГ1-01409
"2021-03-01 00:00:00,000","1899-12-30 10:01:00,000","1899-12-30 17:32:00,000","7,5166666666666666","6,5166666666666666",Будни,ОРГ1-02046
"2021-03-01 00:00:00,000","1899-12-30 09:54:00,000","1899-12-30 17:32:00,000","7,6333333333333329","6,6333333333333329",Будни,ОРГ1-00937
"2021-03-01 00:00:00,000","1899-12-30 08:06:00,000","1899-12-30 17:32:00,000","9,4333333333333336","8,4333333333333336",Будни,ОРГ1-00412
"2021-03-01 00:00:00,000","1899-12-30 08:26:00,000","1899-12-30 17:32:00,000","9,1","8,1",Будни,ОРГ1-00261
