Табельный номер руководителя,id,Вид образования,Специальность
,ОРГ1-00131,Высшее образование - бакалавриат,Юриспруденция
,ОРГ1-03220,Среднее профессиональное образование,Финансы
,ОРГ1-03008,Высшее образование,Юриспруденция
,ОРГ1-00922,Высшее образование - бакалавриат,Бакалавр технических наук
,ОРГ1-00922,Высшее образование,Машины и аппараты химических производств и предприятий строительных материалов
,ОРГ1-00922,Повышение квалификации,проектирование систем трубопроводов
,ОРГ1-00922,Повышение квалификации," ПС ""Изоляция"""
,ОРГ1-00922,Повышение квалификации,проектирование трубопроводов различного назначения на базе программных продуктов серии СТАРТ
,ОРГ1-00502,Высшее образование,Финансы и кредит
,ОРГ1-02709,Среднее профессиональное образование,Разработка и эксплуатация нефтяных и газовых месторождений
,ОРГ1-02709,Высшее образование - бакалавриат,Нефтегазовое дело
,ОРГ1-02943,Высшее образование - бакалавриат,Государственное и муниципальное управление
,ОРГ1-01552,Высшее образование,Химическая технология природных энергоносителей и углеродных материалов
,ОРГ1-00001,Высшее образование,Химическая технология переработки нефти и газа
,ОРГ1-00001,Повышение квалификации,Деятельность по проектированию зданий и сооружений
,ОРГ1-00001,Повышение квалификации,Организация подготовки проектной документации
,ОРГ1-00166,Высшее образование,Менеджмент в социальной сфере
,ОРГ1-00402,Высшее образование,"Бухгалтерский учет, анализ и аудит"
,ОРГ1-02551,Высшее образование - бакалавриат,Химическая технология и биотехнология
,ОРГ1-02551,Высшее образование,Химическая технология
,ОРГ1-01271,Высшее образование - бакалавриат,Прикладная информатика
,ОРГ1-00435,Высшее образование,Основные процессы химических производств и химическая кибернетика
,ОРГ1-00435,,"Интегрированная система менеджмента согласно стребованиям стандартов ИСО 90001:2015, ИСО 14001:2015"
,ОРГ1-00435,,Обеспечение экологической безопасности при работах в области обращения с опасными отходами
,ОРГ1-00435,,Обеспечение экологической безопасности общехозяйственных систем управления
,ОРГ1-02812,Высшее образование,Химическая технология
,ОРГ1-00187,Высшее образование,
,ОРГ1-02679,Высшее образование,Юриспруденция
,ОРГ1-00223,Повышение квалификации,Обеспечение экологической безопасности при работах в области обращения с опасными отходами
,ОРГ1-00223,Высшее образование,Химическая технология топлива и углеродных материалов
,ОРГ1-02722,Высшее образование,Машины и аппараты химических производств
,ОРГ1-02722,Переподготовка,Мастер делового администрирования
,ОРГ1-00411,Высшее образование,Автоматизация технологических процессов и производств
,ОРГ1-00411,,"Интегрированная система менеджмента согласно стребованиям стандартов ИСО 90001:2015, ИСО 14001:2015"
ОРГ1-02703,ОРГ1-02703,Высшее образование,Финансы и кредит
ОРГ1-03118,ОРГ1-03117,"Высшее образование - специалитет, магистратура",Национальная экономика
ОРГ1-03118,ОРГ1-03117,"Высшее образование - специалитет, магистратура",Антикризисное управление
ОРГ1-03118,ОРГ1-03118,"Высшее образование - специалитет, магистратура",Прикладная математика и информатика
ОРГ1-03118,ОРГ1-03118,Высшее образование,Финансы и кредит
ОРГ1-00004,ОРГ1-00004,Высшее образование,Финансы и кредит
ОРГ1-00004,ОРГ1-00004,Повышение квалификации,
ОРГ1-00004,ОРГ1-00004,Повышение квалификации,Практические вопросы применения МСФО
ОРГ1-00004,ОРГ1-00004,Повышение квалификации,"Интегрированная система менеджмента согласно стребованиям стандартов ИСО 90001:2015, ИСО 14001:2015"
ОРГ1-00004,ОРГ1-00004,Повышение квалификации,
ОРГ1-00004,ОРГ1-00004,Повышение квалификации,
ОРГ1-00004,ОРГ1-03131,Высшее образование - бакалавриат,Менеджмент
ОРГ1-02529,ОРГ1-00030,Высшее образование,
ОРГ1-02529,ОРГ1-00030,Повышение квалификации,
ОРГ1-02529,ОРГ1-01958,Высшее образование,Экономика и управление на предприятии (по отраслям)
ОРГ1-02529,ОРГ1-01958,Повышение квалификации,
ОРГ1-02529,ОРГ1-01958,Повышение квалификации,
ОРГ1-02529,ОРГ1-00028,Высшее образование,"Бухгалтерский учет, анализ и аудит"
ОРГ1-02529,ОРГ1-00028,Повышение квалификации,бухгалтерский учет в коммерческих организациях
ОРГ1-02529,ОРГ1-00028,Повышение квалификации,
ОРГ1-02529,ОРГ1-00028,Повышение квалификации,
ОРГ1-02529,ОРГ1-00069,Высшее образование,
ОРГ1-02529,ОРГ1-00069,Повышение квалификации,
ОРГ1-02529,ОРГ1-02807,Высшее образование,"Бухгалтерский учет, анализ и аудит"
ОРГ1-02529,ОРГ1-02807,Повышение квалификации,
ОРГ1-02529,ОРГ1-01091,Высшее образование,Экономика и управление аграрным производством
ОРГ1-02529,ОРГ1-01091,Повышение квалификации,
ОРГ1-02529,ОРГ1-00472,Высшее образование,Юриспруденция
ОРГ1-02529,ОРГ1-00472,Высшее образование,"Бухгалтерский учет, анализ и аудит"
ОРГ1-02529,ОРГ1-00814,Высшее образование,"Бухгалтерский учет, анализ и аудит"
ОРГ1-02529,ОРГ1-02529,Высшее образование - бакалавриат,Экономика
ОРГ1-02529,ОРГ1-02529,Повышение квалификации,
ОРГ1-02529,ОРГ1-02529,Повышение квалификации,
ОРГ1-02529,ОРГ1-00276,Высшее образование,
ОРГ1-02529,ОРГ1-00276,,бухгалтерский учет в коммерческих организациях
ОРГ1-02529,ОРГ1-02785,Высшее образование,Экономика и управление на предприятии (в аграрном производстве)
