id,type
ОРГ1-02649,1
ОРГ2-05929,1
ОРГ2-05859,1
ОРГ1-00279,1
ОРГ2-01613,1
ОРГ2-05171,1
ОРГ1-01873,1
ОРГ1-01627,1
ОРГ1-01851,1
ОРГ1-02815,1
ОРГ1-01674,2
ОРГ1-00571,1
ОРГ1-02494,1
ОРГ1-02773,1
ОРГ1-01590,2
ОРГ2-01825,1
ОРГ1-00963,1
ОРГ1-01464,2
ОРГ2-00209,1
ОРГ1-01336,2
ОРГ1-02028,1
ОРГ1-02705,1
ОРГ1-01342,1
ОРГ1-01624,1
ОРГ1-02723,1
ОРГ2-06471,1
ОРГ2-00800,1
ОРГ1-02042,1
ОРГ1-01676,1
ОРГ1-01714,1
ОРГ1-00147,1
ОРГ1-00781,1
ОРГ1-02846,1
ОРГ1-03037,2
ОРГ1-01220,1
ОРГ1-02180,1
ОРГ1-01010,1
ОРГ1-02527,1
ОРГ1-00831,1
ОРГ1-00901,1
ОРГ1-02873,1
ОРГ1-00150,1
ОРГ1-02802,1
ОРГ2-07167,1
ОРГ1-00419,1
ОРГ1-01572,1
ОРГ1-01589,1
ОРГ1-03104,1
ОРГ1-00706,1
ОРГ1-02606,1
ОРГ1-02856,1
ОРГ2-05623,1
ОРГ2-06643,1
ОРГ1-00420,1
ОРГ1-00639,1
ОРГ1-01754,1
ОРГ1-02655,1
ОРГ1-02702,1
ОРГ1-01632,1
ОРГ1-02560,1
ОРГ1-02807,1
ОРГ1-00829,1
ОРГ1-01807,1
ОРГ1-02572,1
ОРГ2-05630,1
ОРГ1-01715,1
ОРГ2-00229,1
ОРГ1-01758,2
ОРГ1-02937,1
ОРГ2-01919,1
ОРГ2-03356,1
ОРГ1-00970,1
ОРГ2-05975,1
ОРГ1-01660,2
ОРГ1-00659,1
ОРГ1-00261,1
ОРГ2-03873,1
ОРГ1-01506,1
ОРГ1-01716,1
ОРГ1-00824,1
ОРГ1-00566,1
ОРГ2-00868,1
ОРГ1-01846,1
ОРГ1-00437,1
ОРГ1-00525,1
ОРГ1-03075,1
ОРГ1-00560,1
ОРГ1-02189,2
ОРГ1-02884,1
ОРГ1-02922,1
ОРГ2-04616,1
ОРГ1-01239,1
ОРГ1-01109,1
ОРГ1-02635,1
ОРГ1-02137,1
ОРГ2-05628,1
ОРГ2-00905,1
ОРГ1-01922,1
ОРГ1-01101,1
ОРГ1-00324,1
ОРГ1-00972,1
ОРГ1-00515,1
ОРГ1-01060,1
ОРГ2-05324,1
ОРГ1-03049,1
ОРГ2-04009,1
ОРГ1-01838,1
ОРГ1-02122,1
ОРГ1-00807,1
ОРГ1-01808,1
ОРГ1-02224,1
ОРГ1-00596,1
ОРГ2-00591,1
ОРГ1-01598,1
ОРГ2-04680,1
ОРГ1-00816,1
ОРГ1-01894,1
ОРГ1-01062,1
ОРГ2-04134,1
ОРГ1-02696,1
ОРГ1-02195,1
ОРГ1-00662,1
ОРГ1-01412,1
ОРГ2-07861,1
ОРГ2-06061,1
ОРГ1-00792,1
ОРГ2-05463,1
ОРГ2-02092,1
ОРГ1-00966,1
ОРГ1-02788,1
ОРГ1-02250,1
ОРГ1-02860,1
ОРГ1-01921,1
ОРГ2-04515,1
ОРГ1-01880,1
ОРГ2-04767,1
ОРГ1-02178,1
ОРГ1-00696,1
ОРГ1-01853,1
