id,type
ОРГ1-02649,0
ОРГ2-05929,2
ОРГ2-05859,2
ОРГ1-00279,2
ОРГ2-01613,2
ОРГ2-05171,0
ОРГ1-01873,2
ОРГ1-01627,2
ОРГ1-01851,0
ОРГ1-02815,2
ОРГ1-01674,2
ОРГ1-00571,2
ОРГ1-02494,0
ОРГ1-02773,2
ОРГ1-01590,2
ОРГ2-01825,2
ОРГ1-00963,0
ОРГ1-01464,2
ОРГ2-00209,2
ОРГ1-01336,2
ОРГ1-02028,2
ОРГ1-02705,0
ОРГ1-01342,2
ОРГ1-01624,0
ОРГ1-02723,0
ОРГ2-06471,1
ОРГ2-00800,0
ОРГ1-02042,2
ОРГ1-01676,2
ОРГ1-01714,2
ОРГ1-00147,0
ОРГ1-00781,0
ОРГ1-02846,2
ОРГ1-03037,3
ОРГ1-01220,2
ОРГ1-02180,2
ОРГ1-01010,0
ОРГ1-02527,2
ОРГ1-00831,0
ОРГ1-00901,0
ОРГ1-02873,2
ОРГ1-00150,2
ОРГ1-02802,2
ОРГ2-07167,2
ОРГ1-00419,2
ОРГ1-01572,1
ОРГ1-01589,2
ОРГ1-03104,2
ОРГ1-00706,2
ОРГ1-02606,2
ОРГ1-02856,2
ОРГ2-05623,2
ОРГ2-06643,1
ОРГ1-00420,2
ОРГ1-00639,0
ОРГ1-01754,2
ОРГ1-02655,0
ОРГ1-02702,0
ОРГ1-01632,0
ОРГ1-02560,2
ОРГ1-02807,0
ОРГ1-00829,2
ОРГ1-01807,1
ОРГ1-02572,2
ОРГ2-05630,1
ОРГ1-01715,2
ОРГ2-00229,0
ОРГ1-01758,2
ОРГ1-02937,2
ОРГ2-01919,2
ОРГ2-03356,0
ОРГ1-00970,0
ОРГ2-05975,1
ОРГ1-01660,2
ОРГ1-00659,0
ОРГ1-00261,2
ОРГ2-03873,1
ОРГ1-01506,2
ОРГ1-01716,0
ОРГ1-00824,2
ОРГ1-00566,0
ОРГ2-00868,2
ОРГ1-01846,2
ОРГ1-00437,2
ОРГ1-00525,2
ОРГ1-03075,2
ОРГ1-00560,2
ОРГ1-02189,2
ОРГ1-02884,2
ОРГ1-02922,2
ОРГ2-04616,1
ОРГ1-01239,1
ОРГ1-01109,0
ОРГ1-02635,2
ОРГ1-02137,0
ОРГ2-05628,0
ОРГ2-00905,2
ОРГ1-01922,2
ОРГ1-01101,0
ОРГ1-00324,2
ОРГ1-00972,2
ОРГ1-00515,2
ОРГ1-01060,2
ОРГ2-05324,2
ОРГ1-03049,2
ОРГ2-04009,2
ОРГ1-01838,2
ОРГ1-02122,2
ОРГ1-00807,2
ОРГ1-01808,0
ОРГ1-02224,2
ОРГ1-00596,2
ОРГ2-00591,2
ОРГ1-01598,2
ОРГ2-04680,1
ОРГ1-00816,2
ОРГ1-01894,2
ОРГ1-01062,2
ОРГ2-04134,1
ОРГ1-02696,2
ОРГ1-02195,0
ОРГ1-00662,0
ОРГ1-01412,2
ОРГ2-07861,2
ОРГ2-06061,0
ОРГ1-00792,2
ОРГ2-05463,2
ОРГ2-02092,0
ОРГ1-00966,2
ОРГ1-02788,2
ОРГ1-02250,0
ОРГ1-02860,2
ОРГ1-01921,2
ОРГ2-04515,1
ОРГ1-01880,2
ОРГ2-04767,1
ОРГ1-02178,2
ОРГ1-00696,2
ОРГ1-01853,2
ОРГ1-02931,2
ОРГ1-00707,0
ОРГ1-01875,2
ОРГ1-01059,2
ОРГ1-02555,2
ОРГ1-01151,2
ОРГ1-01356,2
ОРГ1-02128,2
ОРГ1-02638,0
ОРГ1-02916,2
ОРГ1-00358,0
ОРГ1-02027,2
ОРГ1-01742,2
ОРГ2-03598,0
ОРГ1-01837,2
ОРГ1-03009,2
ОРГ1-02652,0
ОРГ1-02165,2
ОРГ1-01202,2
ОРГ1-01797,0
